GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049009381,93.81,White,182,58.55281254574439,0.896,3108305,86956,3108.305,0.896,0.14982705851644262
39049009382,93.82,White,120,61.63119277928946,0.731,1947066,15989,1947.066,0.731,0.15770412940909848
39049009383,93.83,White,62,46.69128251162952,0.823,1327871,0,1327.871,0.823,0.11947534563967091
39049009384,93.84,White,52,37.48390714947861,0.684,1387262,2511,1387.262,0.684,0.09591517991594772
39049009385,93.85,White,29,10.544369433981885,0.374,2750283,36231,2750.283,0.374,0.026981314603289966
39049009386,93.86,Other,175,66.7822189861467,0.875,2620458,25330,2620.458,0.875,0.17088476192460045
39049009390,93.90,Other,47,7.2011260722591635,0.483,6526757,50947,6526.757,0.483,0.018426502340425498
39049009391,93.91,Other,158,59.877970212604694,0.432,2638700,11681,2638.7,0.432,0.15321791997405543
39049009392,93.92,Black,236,61.08044579408074,0.826,3863757,35872,3863.757,0.826,0.15629485806596438
39049009393,93.93,Black,115,82.81233572552968,0.876,1388682,0,1388.682,0.876,0.21190320551961267
39049009394,93.94,White,17,10.460939773908324,0.246,1625093,0,1625.093,0.246,0.026767831765858667
39049009395,93.95,White,50,19.676037970031036,0.221,2541162,2612,2541.162,0.221,0.050347758957000735
39049009396,93.96,Black,260,162.33877730179216,0.853,1601589,12617,1601.589,0.853,0.41539834601935166
39049009397,93.97,Black,173,93.7705970097478,0.737,1844928,3263,1844.928,0.737,0.2399436015874587
39049009401,94.01,White,99,15.487807262842951,0.314,6392125,291032,6392.125,0.314,0.039630762454808996
39049009403,94.03,Other,50,13.222594981866534,0.753,3781406,51759,3781.406,0.753,0.03383445518589908
39049009404,94.04,White,3,1.0902688057740637,0.231,2751615,5935,2751.615,0.231,0.0027898193282132108
39049009405,94.05,White,7,1.2121144956426215,0.089,5775032,131554,5775.032,0.089,0.003101602494763074
39049009410,94.10,White,34,26.347051106304928,0.325,1290467,1450,1290.467,0.325,0.06741778910715976
39049009420,94.20,White,179,44.92574953216985,0.708,3984352,116352,3984.352,0.708,0.11495763587432783
