GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049007722,Census Tract 77.22; Franklin County; Ohio,4072,846
1400000US39049007730,Census Tract 77.30; Franklin County; Ohio,3327,550
1400000US39049007740,Census Tract 77.40; Franklin County; Ohio,1690,180
1400000US39049007811,Census Tract 78.11; Franklin County; Ohio,4084,807
1400000US39049007812,Census Tract 78.12; Franklin County; Ohio,4632,736
1400000US39049007820,Census Tract 78.20; Franklin County; Ohio,3753,441
1400000US39049007830,Census Tract 78.30; Franklin County; Ohio,2789,408
1400000US39049007922,Census Tract 79.22; Franklin County; Ohio,6794,906
1400000US39049007931,Census Tract 79.31; Franklin County; Ohio,4451,540
1400000US39049007941,Census Tract 79.41; Franklin County; Ohio,3126,260
1400000US39049007955,Census Tract 79.55; Franklin County; Ohio,2668,376
1400000US39049007956,Census Tract 79.56; Franklin County; Ohio,4929,726
1400000US39049007957,Census Tract 79.57; Franklin County; Ohio,5620,1364
1400000US39049007958,Census Tract 79.58; Franklin County; Ohio,3378,417
1400000US39049007959,Census Tract 79.59; Franklin County; Ohio,2121,472
1400000US39049007960,Census Tract 79.60; Franklin County; Ohio,4575,385
1400000US39049007961,Census Tract 79.61; Franklin County; Ohio,5362,692
1400000US39049007962,Census Tract 79.62; Franklin County; Ohio,5814,993
1400000US39049007963,Census Tract 79.63; Franklin County; Ohio,3824,1014
1400000US39049007964,Census Tract 79.64; Franklin County; Ohio,6163,669
1400000US39049007965,Census Tract 79.65; Franklin County; Ohio,3652,450
1400000US39049007966,Census Tract 79.66; Franklin County; Ohio,5619,968
1400000US39049008001,Census Tract 80.01; Franklin County; Ohio,3515,164
1400000US39049008002,Census Tract 80.02; Franklin County; Ohio,3293,548
1400000US39049008110,Census Tract 81.10; Franklin County; Ohio,4200,684
1400000US39049008120,Census Tract 81.20; Franklin County; Ohio,4071,618
1400000US39049008132,Census Tract 81.32; Franklin County; Ohio,6709,1189
1400000US39049008163,Census Tract 81.63; Franklin County; Ohio,3569,580
1400000US39049008164,Census Tract 81.64; Franklin County; Ohio,5231,946
1400000US39049008165,Census Tract 81.65; Franklin County; Ohio,2064,347
1400000US39049008166,Census Tract 81.66; Franklin County; Ohio,5165,802
1400000US39049008167,Census Tract 81.67; Franklin County; Ohio,3266,449
1400000US39049008168,Census Tract 81.68; Franklin County; Ohio,3602,784
1400000US39049008169,Census Tract 81.69; Franklin County; Ohio,4477,533
1400000US39049008170,Census Tract 81.70; Franklin County; Ohio,5796,743
1400000US39049008171,Census Tract 81.71; Franklin County; Ohio,3212,660
1400000US39049008172,Census Tract 81.72; Franklin County; Ohio,6419,939
1400000US39049008210,Census Tract 82.10; Franklin County; Ohio,2407,597
1400000US39049008230,Census Tract 82.30; Franklin County; Ohio,3422,490
1400000US39049008241,Census Tract 82.41; Franklin County; Ohio,2883,380
1400000US39049008242,Census Tract 82.42; Franklin County; Ohio,6767,1075
1400000US39049008311,Census Tract 83.11; Franklin County; Ohio,4187,484
1400000US39049008312,Census Tract 83.12; Franklin County; Ohio,4748,681
1400000US39049008321,Census Tract 83.21; Franklin County; Ohio,3410,766
1400000US39049008322,Census Tract 83.22; Franklin County; Ohio,4951,714
1400000US39049008330,Census Tract 83.30; Franklin County; Ohio,1701,272
1400000US39049008340,Census Tract 83.40; Franklin County; Ohio,5058,859
1400000US39049008350,Census Tract 83.50; Franklin County; Ohio,7699,1218
1400000US39049008360,Census Tract 83.60; Franklin County; Ohio,6701,945
1400000US39049008380,Census Tract 83.80; Franklin County; Ohio,5260,554
1400000US39049008381,Census Tract 83.81; Franklin County; Ohio,4321,621
1400000US39049008382,Census Tract 83.82; Franklin County; Ohio,3384,394
1400000US39049008400,Census Tract 84; Franklin County; Ohio,4027,570
1400000US39049008500,Census Tract 85; Franklin County; Ohio,5450,497
1400000US39049008710,Census Tract 87.10; Franklin County; Ohio,2079,321
1400000US39049008720,Census Tract 87.20; Franklin County; Ohio,3479,645
1400000US39049008730,Census Tract 87.30; Franklin County; Ohio,1920,321
1400000US39049008811,Census Tract 88.11; Franklin County; Ohio,1800,410
1400000US39049008812,Census Tract 88.12; Franklin County; Ohio,3069,491
1400000US39049008813,Census Tract 88.13; Franklin County; Ohio,2156,287
1400000US39049008821,Census Tract 88.21; Franklin County; Ohio,2213,279
1400000US39049008822,Census Tract 88.22; Franklin County; Ohio,4265,445
1400000US39049008825,Census Tract 88.25; Franklin County; Ohio,7186,1073
1400000US39049008900,Census Tract 89; Franklin County; Ohio,5142,403
1400000US39049009000,Census Tract 90; Franklin County; Ohio,3384,482
1400000US39049009100,Census Tract 91; Franklin County; Ohio,4798,432
1400000US39049009220,Census Tract 92.20; Franklin County; Ohio,2570,368
1400000US39049009230,Census Tract 92.30; Franklin County; Ohio,5418,627
1400000US39049009240,Census Tract 92.40; Franklin County; Ohio,2137,408
1400000US39049009250,Census Tract 92.50; Franklin County; Ohio,2426,575
1400000US39049009251,Census Tract 92.51; Franklin County; Ohio,1119,440
1400000US39049009252,Census Tract 92.52; Franklin County; Ohio,3035,344
1400000US39049009311,Census Tract 93.11; Franklin County; Ohio,2657,491
1400000US39049009312,Census Tract 93.12; Franklin County; Ohio,3227,598
1400000US39049009321,Census Tract 93.21; Franklin County; Ohio,3103,1094
1400000US39049009322,Census Tract 93.22; Franklin County; Ohio,3661,861
1400000US39049009323,Census Tract 93.23; Franklin County; Ohio,3704,418
1400000US39049009325,Census Tract 93.25; Franklin County; Ohio,4492,737
1400000US39049009326,Census Tract 93.26; Franklin County; Ohio,2026,604
1400000US39049009332,Census Tract 93.32; Franklin County; Ohio,3988,784
1400000US39049009334,Census Tract 93.34; Franklin County; Ohio,2851,340
1400000US39049009336,Census Tract 93.36; Franklin County; Ohio,2501,396
1400000US39049009337,Census Tract 93.37; Franklin County; Ohio,4552,655
1400000US39049009340,Census Tract 93.40; Franklin County; Ohio,3225,497
1400000US39049009350,Census Tract 93.50; Franklin County; Ohio,3079,785
1400000US39049009361,Census Tract 93.61; Franklin County; Ohio,5427,908
1400000US39049009372,Census Tract 93.72; Franklin County; Ohio,5334,847
1400000US39049009373,Census Tract 93.73; Franklin County; Ohio,6919,955
1400000US39049009381,Census Tract 93.81; Franklin County; Ohio,6921,1234
